job_title,job_category
Data DevOps Engineer,Data Engineering
Data Architect,Data Architecture and Modeling
Data Architect,Data Architecture and Modeling
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Machine Learning Researcher,Machine Learning and AI
Machine Learning Researcher,Machine Learning and AI
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Data Analyst,Data Analysis
Data Analyst,Data Analysis
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Analytics Engineer,Leadership and Management
Analytics Engineer,Leadership and Management
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
Data Analyst,Data Analysis
Data Analyst,Data Analysis
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
Applied Scientist,Data Science and Research
Applied Scientist,Data Science and Research
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
BI Developer,BI and Visualization
BI Developer,BI and Visualization
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Business Intelligence Engineer,BI and Visualization
Business Intelligence Engineer,BI and Visualization
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Data Analyst,Data Analysis
Data Analyst,Data Analysis
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
Research Scientist,Data Science and Research
Research Scientist,Data Science and Research
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Data Scientist,Data Science and Research
Data Scientist,Data Science and Research
Research Analyst,Data Science and Research
Research Analyst,Data Science and Research
Analytics Engineer,Leadership and Management
Analytics Engineer,Leadership and Management
Research Scientist,Data Science and Research
Research Scientist,Data Science and Research
Data Engineer,Data Engineering
Data Engineer,Data Engineering
Research Engineer,Data Science and Research
Research Engineer,Data Science and Research
Data Analyst,Data Analysis
Data Analyst,Data Analysis
Machine Learning Engineer,Machine Learning and AI
Machine Learning Engineer,Machine Learning and AI
Data Engineer,Data Engineering
